Lex	Type	Regex	Direction	Unnamed: 4	Unnamed: 5	Unnamed: 6	Codes
abdomen	ANATOMY	\b(intra[ -]?)?abd(omen|ominal)?\b	bidirectional	
midline	ANATOMY		bidirectional	
port	ANATOMY	\bport\b	bidirectional	
umbilical	ANATOMY		bidirectional	
incision	SURGICAL_SITE	\bincision(s|al)?\b	bidirectional
post operative wound	SURGICAL_SITE	\bpost[- ]?operative wounds?\b	bidirectional	
post surgical scar	SURGICAL_SITE	\bpost[- ]?surgical scars?\b	
site	SURGICAL_SITE	\bsites?\b	bidirectional	
surgical incision	SURGICAL_SITE	\bsurgical incisions?\b	bidirectional	
surgical site	SURGICAL_SITE	\bsurgical sites?\b	bidirectional	
surgical wound	SURGICAL_SITE	\bsurgical wounds?\b	bidirectional	
wound	SURGICAL_SITE	\bwounds?\b	bidirectional	
acute	ACUTE		bidirectional				
new	ACUTE		bidirectional				
new from prior exam	ACUTE	new from(\sthe)? prior (exam|study)	bidirectional				
borderline	AMBIVALENT_EXISTENCE		bidirectional				
cannot	AMBIVALENT_EXISTENCE		forward				
cannot be evaluated	AMBIVALENT_EXISTENCE		bidirectional	2/28/2013			
cannot be excluded	AMBIVALENT_EXISTENCE		backward				
cannot exclude	AMBIVALENT_EXISTENCE	cannot\sexclude	forward				
cannot rule out	AMBIVALENT_EXISTENCE	cannot rule (the patient |him |her )?out	forward				
cannot see	AMBIVALENT_EXISTENCE		forward				
could not be ruled	AMBIVALENT_EXISTENCE		bidirectional				
differential diagnosis would include	AMBIVALENT_EXISTENCE	differential\s((diagnosis|considerations)\s)?((would|could)\sinclud[a-z]*)?	forward				
equivocal	AMBIVALENT_EXISTENCE		bidirectional				
highly hesitant	AMBIVALENT_EXISTENCE		bidirectional				
incompletely evaluated	AMBIVALENT_EXISTENCE		bidirectional	4/29/2013			
indication	AMBIVALENT_EXISTENCE		bidirectional				
insufficient to rule (the patient|him|her) out for	AMBIVALENT_EXISTENCE		forward				
is in the differential	AMBIVALENT_EXISTENCE	is\sin\sthe\sdifferential	backward				
is not excluded	AMBIVALENT_EXISTENCE	(is|was|are|were)\snot\sexcluded	backward				
less likely	AMBIVALENT_EXISTENCE		bidirectional	4/29/2013			
no complaints of	AMBIVALENT_EXISTENCE		forward				
not adequate to rule out	AMBIVALENT_EXISTENCE	not adequate to rule ((the patient|him|her)\s)?out	forward				
not excluded	AMBIVALENT_EXISTENCE	not\s(excluded|ruled\sout)	backward				
not know of	AMBIVALENT_EXISTENCE		forward				
not known to have	AMBIVALENT_EXISTENCE		forward				
test for	AMBIVALENT_EXISTENCE		forward				
unable to adequately assess	AMBIVALENT_EXISTENCE		forward				
unable to assess	AMBIVALENT_EXISTENCE		forward				
versus	AMBIVALENT_EXISTENCE		bidirectional				
was not excluded	AMBIVALENT_EXISTENCE	(was|were) not excluded	backward				
although	CONJ		terminate				
apart from	CONJ		terminate				
as a cause for	CONJ		terminate				
as a cause of	CONJ		terminate				
as a etiology for	CONJ		terminate				
as a etiology of	CONJ		terminate				
as a reason for	CONJ		terminate				
as a reason of	CONJ		terminate				
as a secondary cause for	CONJ		terminate				
as a secondary cause of	CONJ		terminate				
as a secondary etiology for	CONJ		terminate				
as a secondary etiology of	CONJ		terminate				
as a secondary origin for	CONJ		terminate				
as a secondary origin of	CONJ		terminate				
as a secondary reason for	CONJ		terminate				
as a secondary reason of	CONJ		terminate				
as a secondary source for	CONJ		terminate				
as a secondary source of	CONJ		terminate				
as a source for	CONJ		terminate				
as a source of	CONJ		terminate				
as an cause for	CONJ		terminate				
as an cause of	CONJ		terminate				
as an etiology for	CONJ		terminate				
as an etiology of	CONJ		terminate				
as an origin for	CONJ		terminate				
as an origin of	CONJ		terminate				
as an reason for	CONJ		terminate				
as an reason of	CONJ		terminate				
as an secondary cause for	CONJ		terminate				
as an secondary cause of	CONJ		terminate				
as an secondary etiology for	CONJ		terminate				
as an secondary etiology of	CONJ		terminate				
as an secondary origin for	CONJ		terminate				
as an secondary origin of	CONJ		terminate				
as an secondary reason for	CONJ		terminate				
as an secondary reason of	CONJ		terminate				
as an secondary source for	CONJ		terminate				
as an secondary source of	CONJ		terminate				
as an source for	CONJ		terminate				
as an source of	CONJ		terminate				
as the cause for	CONJ		terminate				
as the cause of	CONJ		terminate				
as the etiology for	CONJ		terminate				
as the etiology of	CONJ		terminate				
as the origin for	CONJ		terminate				
as the origin of	CONJ		terminate				
as the reason for	CONJ		terminate				
as the reason of	CONJ		terminate				
as the secondary cause for	CONJ		terminate				
as the secondary cause of	CONJ		terminate				
as the secondary etiology for	CONJ		terminate				
as the secondary etiology of	CONJ		terminate				
as the secondary origin for	CONJ		terminate				
as the secondary origin of	CONJ		terminate				
as the secondary reason for	CONJ		terminate				
as the secondary reason of	CONJ		terminate				
as the secondary source for	CONJ		terminate				
as the secondary source of	CONJ		terminate				
as the source for	CONJ		terminate				
as the source of	CONJ		terminate				
as there are 	CONJ		terminate	2/14/2013			
aside from	CONJ		terminate				
but	CONJ		terminate				
cause for	CONJ		terminate				
cause of	CONJ		terminate				
causes for	CONJ		terminate				
causes of	CONJ		terminate				
etiology for	CONJ		terminate				
etiology of	CONJ		terminate				
except	CONJ		terminate				
however	CONJ		terminate				
involving	CONJ		terminate				
nevertheless	CONJ		terminate				
origin for	CONJ		terminate				
origin of	CONJ		terminate				
origins for	CONJ		terminate				
origins of	CONJ		terminate				
other possibilities of	CONJ		terminate				
reason for	CONJ		terminate				
reason of	CONJ		terminate				
reasons for	CONJ		terminate				
reasons of	CONJ		terminate				
secondary to	CONJ		terminate				
source for	CONJ		terminate				
source of	CONJ		terminate				
sources for	CONJ		terminate				
sources of	CONJ		terminate				
still	CONJ		terminate				
though	CONJ		terminate				
trigger event for	CONJ		terminate				
which	CONJ		terminate				
yet	CONJ		terminate				
appears to be	DEFINITE_EXISTENCE		forward				
believe	DEFINITE_EXISTENCE		bidirectional				
can see	DEFINITE_EXISTENCE		forward				
compatible with	DEFINITE_EXISTENCE		forward				
consistent with	DEFINITE_EXISTENCE		forward	2/14/2013			
convincing	DEFINITE_EXISTENCE		forward				
definite	DEFINITE_EXISTENCE		forward				
evidence	DEFINITE_EXISTENCE		forward				
gross evidence	DEFINITE_EXISTENCE		forward				
high probability	DEFINITE_EXISTENCE		bidirectional				
highly suggestive	DEFINITE_EXISTENCE		forward	4/29/2013			
is positive	DEFINITE_EXISTENCE		bidirectional				
is present	DEFINITE_EXISTENCE	(is|are) present	backward	4/29/2013			
obvious	DEFINITE_EXISTENCE		forward				
positive study for	DEFINITE_EXISTENCE	positive (study|exam|examination)( for)	forward				
represents	DEFINITE_EXISTENCE		forward				
reveals	DEFINITE_EXISTENCE		forward				
#NAME?	DEFINITE_NEGATED_EXISTENCE		forward				
(no|nothing) convincing	DEFINITE_NEGATED_EXISTENCE		forward				
(the patient|him|her) was not	DEFINITE_NEGATED_EXISTENCE		forward				
absence of	DEFINITE_NEGATED_EXISTENCE		forward				
adequate to rule the patient out	DEFINITE_NEGATED_EXISTENCE		forward				
are ruled out	DEFINITE_NEGATED_EXISTENCE		backward				
can be ruled out	DEFINITE_NEGATED_EXISTENCE		backward				
can be ruled out for	DEFINITE_NEGATED_EXISTENCE		forward				
can rule out	DEFINITE_NEGATED_EXISTENCE		forward				
can rule out against	DEFINITE_NEGATED_EXISTENCE		forward				
can rule out for	DEFINITE_NEGATED_EXISTENCE		forward				
can rule the patient out	DEFINITE_NEGATED_EXISTENCE	can rule (her|him|the patient) out	forward				
completely excluded	DEFINITE_NEGATED_EXISTENCE	(completely|entirely)? excluded	backward				
could be ruled out	DEFINITE_NEGATED_EXISTENCE		backward				
could be ruled out for	DEFINITE_NEGATED_EXISTENCE		forward				
declined	DEFINITE_NEGATED_EXISTENCE		forward				
did rule (the patient|him|her) out	DEFINITE_NEGATED_EXISTENCE		forward				
did rule her out against	DEFINITE_NEGATED_EXISTENCE		forward				
did rule out	DEFINITE_NEGATED_EXISTENCE		forward				
excluded	DEFINITE_NEGATED_EXISTENCE		backward				
fails to reveal	DEFINITE_NEGATED_EXISTENCE		forward				
free	DEFINITE_NEGATED_EXISTENCE		backward				
free of	DEFINITE_NEGATED_EXISTENCE		forward				
has been ruled out	DEFINITE_NEGATED_EXISTENCE		backward				
have been ruled out	DEFINITE_NEGATED_EXISTENCE		backward				
is negative	DEFINITE_NEGATED_EXISTENCE	(is|was) negative	backward				
is ruled out	DEFINITE_NEGATED_EXISTENCE		backward				
is ruled out	DEFINITE_NEGATED_EXISTENCE		backward				
may be ruled out	DEFINITE_NEGATED_EXISTENCE		bidirectional				
must be ruled out	DEFINITE_NEGATED_EXISTENCE		backward				
must be ruled out for	DEFINITE_NEGATED_EXISTENCE		forward				
negative examination for	DEFINITE_NEGATED_EXISTENCE	negative (examination|study|exam|evaluation) for	forward				
negative for	DEFINITE_NEGATED_EXISTENCE		forward				
never had	DEFINITE_NEGATED_EXISTENCE		forward				
no	DEFINITE_NEGATED_EXISTENCE	\bno\b	forward				
no XYZ to suggest	DEFINITE_NEGATED_EXISTENCE	(\b(without|no)\b[\d\D\s]*to suggest)	forward	2/14/2013			
no abnormal	DEFINITE_NEGATED_EXISTENCE		forward	2/28/2013	changed from probable to definite		
no definite	DEFINITE_NEGATED_EXISTENCE	no[\s]*definite	forward				
no evidence of	DEFINITE_NEGATED_EXISTENCE	(no|without)\s((definite|other|definitive|secondary|indirect)\s)?((radiographic|sonographic|CT)\s)?evidence\s(of|for)	forward	2/28/2013	added other probably consider simplifying re as XYZ		
no findings to indicate	DEFINITE_NEGATED_EXISTENCE		forward				
no longer noted	DEFINITE_NEGATED_EXISTENCE	no longer (seen|noted|visualized)	bidirectional				
no new	DEFINITE_NEGATED_EXISTENCE		forward				
no signs	DEFINITE_NEGATED_EXISTENCE	no sign(s)?	forward				
no suggestion	DEFINITE_NEGATED_EXISTENCE		forward				
not	DEFINITE_NEGATED_EXISTENCE	\bnot\b	bidirectional	3/23/2013			
not demonstrate	DEFINITE_NEGATED_EXISTENCE		forward				
not exhibit	DEFINITE_NEGATED_EXISTENCE		forward				
not had	DEFINITE_NEGATED_EXISTENCE		forward				
not have	DEFINITE_NEGATED_EXISTENCE		forward				
